-75.27362,39.8763,0.2869,
202,34625 ,36651 ,Burglary Residential,2106
203,85290 ,54287 ,Aggravated Assault No Firearm,2110
204,37472 ,51987 ,Burglary Residential,2116
205,34297 ,50152 ,Aggravated Assault No Firearm,2118
206,34679 ,25505 ,Theft from Vehicle,2121
207,62672 ,50976 ,Theft from Vehicle,2121
208,42228 ,15404 ,Theft from Vehicle,2123
209,36248 ,64143 ,Theft from Vehicle,2149
210,41415 ,13837 ,Theft from Vehicle,2158
211,79399 ,56023 ,Theft from Vehicle,2165
212,15219 ,19402 ,Burglary Residential,2166
213,44675 ,54865 ,Theft from Vehicle,2167
214,65443 ,46580 ,Burglary Residential,2168
215,42258 ,65077 ,Burglary Residential,2170
216,41357 ,44171 ,Burglary Residential,2186
217,38590 ,39939 ,Burglary Residential,2194
218,68442 ,48333 ,Aggravated Assault Firearm,2200
219,77887 ,54907 ,Theft from Vehicle,2205
220,50050 ,56693 ,Theft from Vehicle,2215
221,37186 ,42639 ,Robbery No Firearm,2223
222,58008 ,53279 ,Theft from Vehicle,2224
223,42366 ,28706 ,Robbery Firearm,2230
224,74818 ,75227 ,Burglary Residential,2242
225,43012 ,16908 ,Aggravated Assault No Firearm,2249
226,61049 ,42773 ,Robbery Firearm,2250
227,31892 ,17529 ,Burglary Residential,2253
228,84250 ,54495 ,Robbery No Firearm,2256
229,37631 ,42046 ,Robbery No Firearm,2265
230,46616 ,28105 ,Theft from Vehicle,2266
231,53189 ,41146 ,Motor Vehicle Theft,2286
232,31688 ,66843 ,Burglary Residential,2315
233,43775 ,45358 ,Theft from Vehicle,2318
234,34064 ,20686 ,Burglary Residential,2345
235,32438 ,20735 ,Theft from Vehicle,2354
236,95270 ,86075 ,Aggravated Assault Firearm,2364
237,42702 ,31080 ,Robbery Firearm,2367
238,49301 ,53142 ,Motor Vehicle Theft,2368
239,70018 ,41845 ,Motor Vehicle Theft,2369
240,32043 ,14628 ,Burglary Non-Residential,2375
241,15233 ,60650 ,Theft from Vehicle,2387
242,21446 ,26942 ,Burglary Residential,2388
243,66212 ,48945 ,Aggravated Assault No Firearm,2393
244,44853 ,52926 ,Robbery No Firearm,2399
245,14083 ,22006 ,Aggravated Assault No Firearm,2400
246,68972 ,58883 ,Theft from Vehicle,2407
247,32004 ,35297 ,Burglary Residential,2412
248,55127 ,40111 ,Burglary Residential,2412
249,37902 ,9478 ,Aggravated Assault No Firearm,2415
250,59967 ,40003 ,Robbery No Firearm,2417
251,51192 ,39487 ,Burglary Residential,2418
252,41084 ,59084 ,Aggravated Assault Firearm,2434
253,36885 ,25629 ,Robbery No Firearm,2461
254,63954 ,50988 ,Motor Vehicle Theft,2471
255,32689 ,33182 ,Theft from Vehicle,2484
256,51965 ,35059 ,Aggravated Assault No Firearm,2501
257,39114 ,29798 ,Theft from Vehicle,2505
258,44895 ,56744 ,Robbery No Firearm,2513
259,13841 ,22261 ,Burglary Residential,2519
260,32553 ,52563 ,Theft from Vehicle,2562
261,19539 ,28023 ,Aggravated Assault No Firearm,2563
262,35274 ,14165 ,Motor Vehicle Theft,2570
263,13689 ,25382 ,Burglary Residential,2572
264,21217 ,24608 ,Burglary Residential,2572
265,38026 ,62906 ,Motor Vehicle Theft,2584
266,58348 ,44291 ,Theft from Vehicle,2587
267,28238 ,20724 ,Burglary Residential,2590
268,32315 ,36732 ,Robbery Firearm,2603
269,64500 ,49786 ,Robbery Firearm,2605
270,33077 ,57505 ,Robbery Firearm,2608
271,66285 ,65414 ,Burglary Residential,2609
272,9137 ,32405 ,Rape,2615
273,83019 ,57735 ,Burglary Residential,2625
274,72284 ,56358 ,Robbery Firearm,2646
275,53648 ,51609 ,Motor Vehicle Theft,2656
276,39418 ,60424 ,Robbery Firearm,2669
277,19647 ,34689 ,Burglary Non-Residential,2670
278,40214 ,16421 ,Aggravated Assault No Firearm,2682
279,9700 ,31723 ,Motor Vehicle Theft,2690
280,62416 ,41208 ,Robbery Firearm,2694
281,13276 ,22894 ,Robbery Firearm,2696
282,59983 ,56424 ,Theft from Vehicle,2708
283,13833 ,32195 ,Aggravated Assault Firearm,2714
284,23049 ,27623 ,Theft from Vehicle,2719
